event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1997-01-15,1997,Strategic developments,Change to group/activity,Gambela,Agnewak,Gambela town,Gambella,8.2503,34.5878,0,"Movement of forces: SPLA allowed to set up bases and move unhindered through Ethiopian territory; rebels continue to insist that Ethiopian government not involved in the fighting, however.",1
1997-02-10,1997,Explosions/Remote violence,Grenade,Harari,Harari,Abadir,Harar,9.3122,42.1238,2,Grenade attack by unknown attackers wounds foreign tourists and Ethiopians,2
1997-02-15,1997,Strategic developments,Headquarters or base established,Gambela,Agnewak,Gambela town,Gambella,8.2503,34.5878,0,SPLA maintain office and base in Gambella,2
1997-03-21,1997,Protests,Excessive force against protesters,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,0,Students stage demonstration; security forces use violence and illegal detention towards the protesters,3
1997-03-30,1997,Protests,Peaceful protest,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,0,Opposition groups stage protest over land redistribution in Amhara regional state,3
1997-04-12,1997,Explosions/Remote violence,Grenade,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,0,Grenade attack at expensive Italian restaurant,4
1997-04-12,1997,Explosions/Remote violence,Remote explosive/landmine/IED,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,1,"Explosion at Tigray hotel leaves one dead, many injured",4
1997-04-14,1997,Explosions/Remote violence,Grenade,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,0,Grenade attack wounds civilians in supermarket,4
1997-04-26,1997,Explosions/Remote violence,Remote explosive/landmine/IED,Dire Dawa,Dire Dawa urban,Gende Kore,Dire Dawa,9.6008,41.8499,0,Bomb attack in bar leaves 11 injured; unknown perpetrators,4
1997-05-08,1997,Violence against civilians,Attack,Addis Ababa,Region 14,Lideta,Addis Ababa,9.025,38.7469,1,Police kill civilian and claim he was involved in violent underground group; human rights groups claim he was innocent,5
1997-05-15,1997,Violence against civilians,Attack,South Ethiopia Region,Gamo,Arba Minch town,Arba Minch,6.0333,37.55,0,A number of evangelical Christians killed by Orthodox Christians,5
1997-06-12,1997,Battles,Government regains territory,Oromia,East Hararge,Kersa,Kersa,9.455,41.8664,0,"Ethiopian military attacks Somali districts, takes them over from Somali National Front",6
1997-06-12,1997,Violence against civilians,Attack,Oromia,East Hararge,Kersa,Kersa,9.455,41.8664,16,"Ethiopian military attacks Somali districts, takes them over; Somali National Front alleges that the Ethiopian troops attacked and killed women and children",6
1997-06-30,1997,Battles,Armed clash,Oromia,Borena,Moyale,Moyale,3.5391,39.049,24,"Merille launch counter-attack, kill Kenyan Turkana raiders",6
1997-06-30,1997,Violence against civilians,Attack,Sidama,Sidama,Hawasa town,Hawasa,7.0621,38.4764,3,"Turkana raiders attack Merrile camp, kill women and children. Unknown fatalities.",6
1997-06-30,1997,Battles,Armed clash,Sidama,Sidama,Hawasa town,Hawasa,7.0621,38.4764,24,24 Kenyan tribesmen were killed in a revenge attack on an Ethiopian tribe.,6
1997-07-15,1997,Battles,Armed clash,Oromia,West Shewa,Toke Kutaye,Jeldu,9.0167,37.6667,2,OLF attacks village and kills police officers,7
1997-08-07,1997,Explosions/Remote violence,Remote explosive/landmine/IED,Harari,Harari,Abadir,Harar,9.3122,42.1238,0,Bomb attack by unknown persons,8
1997-09-19,1997,Violence against civilians,Attack,Somali,Jarar,Degahabur town,Degehabur,8.2206,43.5572,2,Gunmen kill two UN World Food Programme workers,9
1997-09-24,1997,Violence against civilians,Attack,Somali,Jarar,Daror,Bilel Ogaden,8.5306,44.795,2,'2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.',9
