ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,year,month,ACLED_BRD_total,GID_0,GID_3,ACLED_BRD_state,ACLED_BRD_nonstate
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,1998,5,15,ETH,ET010101,7.5,7.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,1998,10,11,ETH,ET010101,5.5,5.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2000,6,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2006,1,75,ETH,ET010101,37.5,37.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2009,4,29,ETH,ET010101,14.5,14.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2010,5,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2013,10,1,ETH,ET010101,0.5,0.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2013,11,12,ETH,ET010101,6.0,6.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2015,7,30,ETH,ET010101,15.0,15.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2020,11,50,ETH,ET010101,25.0,25.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2021,1,56,ETH,ET010101,28.0,28.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,1,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,5,1,ETH,ET010101,0.5,0.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,8,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,9,50,ETH,ET010101,25.0,25.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2023,5,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2023,6,3,ETH,ET010101,1.5,1.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,2,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,8,0,ETH,ET010101,0.0,0.0
ET010102,Laelay Adiabo,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010102,0.0,0.0
ET010102,Laelay Adiabo,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010102,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,4,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010103,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,1998,7,18,ETH,ET010104,9.0,9.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2002,8,28,ETH,ET010104,14.0,14.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2008,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2010,3,1,ETH,ET010104,0.5,0.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2010,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2013,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2013,10,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2019,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2020,11,5,ETH,ET010104,2.5,2.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2020,12,3,ETH,ET010104,1.5,1.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,2,2,ETH,ET010104,1.0,1.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,6,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,8,4,ETH,ET010104,2.0,2.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,9,4,ETH,ET010104,2.0,2.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,10,3,ETH,ET010104,1.5,1.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,11,5,ETH,ET010104,2.5,2.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,12,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,2,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,12,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,9,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,2,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,7,3,ETH,ET010104,1.5,1.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2020,11,16,ETH,ET010105,8.0,8.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,6,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,11,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,1,56,ETH,ET010105,28.0,28.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,8,6,ETH,ET010105,3.0,3.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,10,1,ETH,ET010105,0.5,0.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,1,1,ETH,ET010105,0.5,0.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,4,22,ETH,ET010105,11.0,11.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,12,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010105,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,7,6,ETH,ET010106,3.0,3.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,8,2,ETH,ET010106,1.0,1.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2022,1,3,ETH,ET010106,1.5,1.5
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,8,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2024,1,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2024,6,0,ETH,ET010107,0.0,0.0
ET010108,Indasilassie town,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010108,0.0,0.0
ET010108,Indasilassie town,ET0101,North Western,ET01,Tigray,ET,2024,6,0,ETH,ET010108,0.0,0.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010109,0.0,0.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,2,1,ETH,ET010109,0.5,0.5
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,4,33,ETH,ET010109,16.5,16.5
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,6,10,ETH,ET010109,5.0,5.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010109,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010110,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010111,0.0,0.0
